1	David	jungle fish apple grape jungle ice
2	David	ice elephant ice jungle dog banana banana grape jungle grape
3	Bob	jungle banana jungle banana grape dog elephant elephant cat house
4	Alice	banana grape cat house grape ice apple
5	Eva	house apple dog ice dog cat fish cat house ice
6	Grace	dog grape dog house ice dog ice house house elephant
7	Alice	house ice banana banana dog dog
8	Hannah	grape ice fish elephant grape apple
9	Grace	jungle jungle house grape jungle
10	Charlie	ice elephant ice house cat cat cat jungle ice dog
11	Charlie	apple ice jungle apple apple ice dog apple
12	David	elephant ice ice banana jungle fish elephant ice ice fish
13	Charlie	dog apple dog dog dog house grape dog cat
14	David	apple cat apple banana grape ice grape
15	Eva	jungle dog house ice banana dog fish grape
16	Charlie	grape dog dog apple apple jungle house ice elephant
17	Grace	apple elephant grape fish ice elephant fish ice apple
18	Hannah	dog ice house fish apple elephant banana dog banana cat
19	Grace	apple fish ice dog jungle fish banana
20	Alice	grape cat house elephant cat
21	Frank	dog apple cat dog fish cat house banana fish fish
22	Grace	fish grape house house apple cat ice fish house banana
23	Grace	apple ice cat house fish dog jungle
24	Grace	elephant jungle dog fish elephant fish ice apple
25	Alice	grape jungle banana apple elephant grape
26	David	house fish jungle cat house house cat grape
27	Bob	jungle dog elephant grape ice grape fish cat
28	Frank	elephant apple banana jungle elephant cat apple dog fish grape
29	Alice	house dog banana banana elephant
30	Eva	banana apple elephant banana apple banana jungle
31	Eva	fish dog fish fish house elephant jungle house ice dog
32	Frank	apple house banana dog banana apple dog
33	Grace	apple grape cat ice dog fish
34	Alice	grape elephant cat ice banana elephant apple
35	Grace	jungle ice dog grape house house apple
36	Grace	house banana house apple house apple cat
37	Grace	grape apple house elephant fish dog banana apple jungle fish
38	Hannah	fish dog cat fish house grape banana
39	Eva	grape jungle dog cat apple dog fish fish
40	Charlie	apple fish fish banana elephant
41	Eva	fish ice ice elephant grape ice fish
42	Hannah	grape grape banana fish grape cat dog
43	Bob	cat ice dog jungle apple dog grape dog dog house
44	Grace	banana dog house house ice grape apple
45	Hannah	fish banana cat house house fish
46	Bob	dog banana elephant house house ice cat apple apple
47	Eva	cat fish elephant banana elephant banana fish
48	Charlie	apple banana cat house banana jungle house house
49	David	fish dog grape fish dog dog
50	Hannah	dog apple fish grape jungle banana grape dog ice dog
51	Eva	banana jungle grape fish grape ice fish
52	Hannah	banana grape fish dog cat grape fish banana
53	Bob	jungle banana house grape cat cat
54	Bob	apple cat banana apple cat
55	Hannah	house banana cat dog elephant house ice dog dog fish
56	Hannah	banana jungle house ice banana cat cat elephant house
57	Hannah	cat apple cat apple banana dog elephant banana fish
58	Bob	banana banana grape ice grape fish dog jungle apple grape
59	Charlie	fish cat banana cat dog fish banana elephant
60	Charlie	banana elephant banana jungle dog fish
61	Frank	banana banana apple elephant ice
62	Hannah	elephant elephant elephant jungle elephant
63	Frank	apple banana jungle grape jungle ice banana elephant fish
64	David	cat apple elephant elephant fish grape elephant grape fish
65	Frank	apple jungle jungle grape cat elephant ice jungle jungle
66	Eva	ice grape elephant jungle jungle apple jungle
67	Hannah	cat ice fish elephant cat cat grape apple banana ice
68	Hannah	ice jungle ice ice jungle grape
69	Frank	fish jungle jungle elephant house grape jungle
70	Hannah	cat jungle elephant fish cat ice dog jungle cat fish
71	Grace	fish fish grape jungle jungle banana dog ice cat
72	Bob	house banana fish fish cat elephant apple apple
73	Charlie	grape banana dog jungle banana dog grape
74	Frank	house elephant grape apple grape grape dog fish cat
75	Frank	jungle banana dog jungle banana elephant banana banana cat
76	Alice	cat house fish house fish dog elephant grape
77	Frank	banana cat fish grape apple
78	Alice	banana dog dog elephant grape fish apple elephant grape
79	Charlie	banana ice elephant banana fish
80	Frank	fish dog apple elephant elephant banana jungle
81	Bob	apple dog cat elephant apple dog house jungle
82	Bob	banana apple ice house ice grape dog banana
83	Charlie	jungle fish grape jungle fish banana banana elephant banana apple
84	Alice	ice ice cat fish banana
85	David	cat cat ice ice elephant fish elephant
86	Charlie	ice jungle elephant elephant grape jungle dog
87	Grace	ice banana grape cat cat apple jungle jungle
88	Bob	ice fish cat jungle grape elephant apple cat grape
89	Eva	cat cat cat house cat house house
90	Bob	house apple fish jungle ice apple apple elephant dog
91	Grace	house grape cat fish dog dog jungle cat elephant
92	Grace	jungle ice grape banana banana banana dog cat jungle fish
93	Eva	jungle dog banana elephant house cat ice grape
94	Frank	cat ice dog ice fish
95	Eva	cat elephant house house jungle
96	Grace	grape banana apple banana apple apple grape
97	Alice	ice banana house fish cat jungle
